cell_id,prov_name,dist_name,sect_name,province_name,district_name,sector_name,cell_name,total_nightlight,mean_nightlight,median_nightlight,max_nightlight,min_nightlight,std_nightlight,pixel_count,lit_pixel_count,year,lit_pixel_percentage
RWA.1.1.2.5_1,Amajyaruguru,Burera,Butaro,Unknown_Province,Unknown_District,Unknown_Sector,Rusumo,32.32247543334961,0.3232247531414032,0.38860976696014404,2.072214365005493,0.0,0.4092102348804474,100,54,2024,54.0
RWA.1.1.2.5_1,Amajyaruguru,Burera,Butaro,Unknown_Province,Unknown_District,Unknown_Sector,Rusumo,5.042165756225586,0.05042165890336037,0.032336682081222534,0.3374573588371277,0.0,0.06887967884540558,100,54,2015,54.0
RWA.1.1.3.1_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Gasiza,6.8797760009765625,0.11466293036937714,0.0,0.2842429578304291,0.0,0.12314607948064804,60,28,2020,46.666666666666664
RWA.1.1.3.1_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Gasiza,10.648126602172852,0.17746877670288086,0.0,0.4256495535373688,0.0,0.19029346108436584,60,28,2024,46.666666666666664
RWA.1.1.3.1_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Gasiza,1.4193155765533447,0.023655259981751442,0.0,0.08443024009466171,0.0,0.0287951473146677,60,28,2015,46.666666666666664
RWA.1.1.3.2_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Gisovu,5.295732021331787,0.12608885765075684,0.0,0.4921627640724182,0.0,0.15151284635066986,42,18,2020,42.857142857142854
RWA.1.1.3.2_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Gisovu,11.920997619628906,0.28383326530456543,0.0,1.5220205783843994,0.0,0.38414856791496277,42,18,2024,42.857142857142854
RWA.1.1.3.2_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Gisovu,1.8921793699264526,0.04505189135670662,0.0,0.27752694487571716,0.0,0.06630813330411911,42,18,2015,42.857142857142854
RWA.1.1.3.3_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kabyiniro,7.11273717880249,0.10161053389310837,0.0,0.2966085970401764,0.0,0.1219870075583458,70,29,2020,41.42857142857143
RWA.1.1.3.3_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kabyiniro,11.966524124145508,0.17095033824443817,0.0,0.6046839356422424,0.0,0.21107980608940125,70,29,2024,41.42857142857143
RWA.1.1.3.3_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kabyiniro,1.7270537614822388,0.024672197178006172,0.0,0.11073434352874756,0.0,0.03265821188688278,70,29,2015,41.42857142857143
RWA.1.1.3.4_1,Amajyaruguru,Burera,Cyanika,Unknown_Province,Unknown_District,Unknown_Sector,Kagitega,6.063387870788574,0.12632058560848236,0.0,0.37834519147872925,0.0,0.1391628086566925,48,22,2020,45.83333333333333
