cell_id,province_name,district_name,sector_name,cell_name,elderly_60_plus_2020,general_2020,children_under_five_2020,youth_15_24_2020,men_2020,women_2020,building_count
RWA.1.1.8.4_1,Amajyaruguru,Burera,Kagogo,Nyamabuye,403.112354,7439.125916,1114.67262,1519.909166,3598.3500719999997,3840.77697,1633.0
RWA.1.1.9.1_1,Amajyaruguru,Burera,Kinoni,Gafuka,183.6153,3341.101698,396.401478,747.9970079999999,1601.6235840000002,1739.478114,1206.0
RWA.1.1.9.2_1,Amajyaruguru,Burera,Kinoni,Nkenke,86.02914,1546.9885060000001,187.59196999999998,344.27030899999994,743.160079,803.828427,541.0
RWA.1.1.9.3_1,Amajyaruguru,Burera,Kinoni,Nkumba,184.68126199999998,3351.732641,400.603546,748.1087019999999,1606.264369,1745.468272,1467.0
RWA.1.1.9.4_1,Amajyaruguru,Burera,Kinoni,Ntaruka,167.23989,3045.650595,361.977069,681.8586599999999,1459.9707480000002,1585.679847,1309.0
RWA.1.1.10.1_1,Amajyaruguru,Burera,Kinyababa,Bugamba,293.59699399999994,5162.500706,658.8146939999999,1078.364458,2424.89025,2737.610456,1278.0
RWA.1.1.10.2_1,Amajyaruguru,Burera,Kinyababa,Kaganda,259.7693949999999,4567.279244,582.599337,954.050798,2145.234383,2422.044861,933.0
RWA.1.1.10.3_1,Amajyaruguru,Burera,Kinyababa,Musasa,187.18311299999996,3289.0380990000003,418.68920699999995,686.999379,1544.226813,1744.811286,712.0
RWA.1.1.10.4_1,Amajyaruguru,Burera,Kinyababa,Rutovu,396.3722469999999,6971.662662000001,890.5904549999999,1456.29422,3275.2576910000002,3696.404971,1694.0
RWA.1.1.11.1_1,Amajyaruguru,Burera,Kivuye,Bukwashuri,141.979899,2659.19378,371.71439399999997,556.584191,1251.01026,1408.184015,1006.0
RWA.1.1.11.2_1,Amajyaruguru,Burera,Kivuye,Gashanje,188.532661,3687.77881,543.339593,769.6951859999999,1731.892079,1955.887216,976.0
RWA.1.1.11.3_1,Amajyaruguru,Burera,Kivuye,Murwa,245.189553,4585.571487,639.985605,959.977977,2157.4275030000003,2428.1448450000003,1092.0
RWA.1.1.11.4_1,Amajyaruguru,Burera,Kivuye,Nyirataba,179.186723,3348.724776,464.223722,698.017463,1576.579262,1772.146093,1537.0
RWA.1.1.12.1_1,Amajyaruguru,Burera,Nemba,Kivumu,164.51766800000001,3078.481267,406.679741,644.872293,1422.567706,1655.91356,1227.0
RWA.1.1.12.2_1,Amajyaruguru,Burera,Nemba,Nyamugari,318.933669,6014.246054,811.9826939999999,1261.485254,2785.029266,3229.2167879999997,1630.0
RWA.1.1.12.3_1,Amajyaruguru,Burera,Nemba,Rubona,270.83158000000003,5043.287994,676.905188,1061.276414,2338.6559509999997,2704.632043,1244.0
RWA.1.1.12.4_1,Amajyaruguru,Burera,Nemba,Rushara,256.81765,4856.5193930000005,656.615234,1017.66674,2249.038791,2607.480596,1035.0
RWA.1.1.13.1_1,Amajyaruguru,Burera,Rugarama,Cyahi,375.06378,6387.7810500000005,836.8432379999999,1385.074698,3096.800014,3290.981036,1501.0
RWA.1.1.13.2_1,Amajyaruguru,Burera,Rugarama,Gafumba,438.93845999999996,7510.723206000001,977.182522,1632.424702,3638.227466,3872.49574,1763.0
RWA.1.1.13.3_1,Amajyaruguru,Burera,Rugarama,Karangara,397.575266,6809.942703000001,889.736957,1477.117365,3296.560595,3513.382108,1885.0
RWA.1.1.13.4_1,Amajyaruguru,Burera,Rugarama,Rurembo,260.66184,4445.481288,581.2105519999999,964.593512,2154.6544559999998,2290.8268319999997,792.0
RWA.1.1.14.1_1,Amajyaruguru,Burera,Rugengabari,Kilibata,311.30034,6057.727984,886.66485,1290.797372,2824.99305,3232.7343,693.0
RWA.1.1.14.2_1,Amajyaruguru,Burera,Rugengabari,Mucaca,368.701421,7200.5034510000005,1057.705649,1528.365276,3360.154866,3840.348019,786.0
RWA.1.1.14.3_1,Amajyaruguru,Burera,Rugengabari,Nyanamo,181.468117,3141.894925,431.28590199999996,680.139499,1482.5363920000002,1659.358618,1121.0
RWA.1.1.14.4_1,Amajyaruguru,Burera,Rugengabari,Rukandabyuma,440.184146,8552.369666,1250.777546,1822.852705,3988.871811,4563.496969000001,1070.0
RWA.1.1.15.1_1,Amajyaruguru,Burera,Ruhunde,Gaseke,218.40035999999998,4305.857678,570.9860600000001,909.87388,2004.4117729999998,2301.445905,1171.0
RWA.1.1.15.2_1,Amajyaruguru,Burera,Ruhunde,Gatare,194.06519999999998,3826.07946,507.36420000000004,808.4916000000001,1781.0711099999999,2045.00835,1000.0
RWA.1.1.15.3_1,Amajyaruguru,Burera,Ruhunde,Gitovu,223.816375,4376.652856,579.944757,926.571504,2036.3874259999998,2340.265407,1316.0
