cell_id,elderly_60,general_pop,children_under5,youth_15_24,men_2020,women_2020,building_count
RWA.3.3.9.4_1,397,7852,1247,1484,3747,4105,1988
RWA.3.3.10.1_1,433,7617,1137,1558,3649,3968,1798
RWA.3.3.10.2_1,1133,19987,2989,4087,9580,10407,4839
RWA.3.3.10.3_1,616,10915,1636,2229,5234,5681,2553
RWA.3.3.11.1_1,204,3800,618,688,1795,2005,923
RWA.3.3.11.2_1,393,7300,1187,1322,3448,3852,1565
RWA.3.3.11.3_1,235,4359,708,789,2059,2300,1077
RWA.3.3.11.4_1,350,6502,1057,1178,3071,3430,1265
RWA.3.3.12.1_1,367,9173,1435,1843,4501,4672,1623
RWA.3.3.12.2_1,232,5764,901,1158,2825,2938,1323
RWA.3.3.12.3_1,519,12926,2016,2582,6327,6598,1941
RWA.3.3.12.4_1,564,14048,2199,2816,6891,7156,2126
RWA.3.4.1.1_1,349,7433,1200,1392,3527,3906,1527
RWA.3.4.1.2_1,324,6964,1128,1299,3303,3660,1285
RWA.3.4.1.3_1,406,8730,1414,1629,4141,4589,1941
RWA.3.4.1.4_1,561,12051,1952,2249,5717,6334,2261
RWA.3.4.1.5_1,242,5214,845,973,2473,2741,1144
RWA.3.4.1.6_1,359,7716,1250,1439,3660,4056,1900
RWA.3.4.2.1_1,264,5166,808,1002,2458,2708,1102
RWA.3.4.2.2_1,315,6130,960,1188,2916,3214,1211
RWA.3.4.2.3_1,241,4669,722,916,2225,2444,1237
RWA.3.4.2.4_1,235,4585,718,889,2181,2404,1213
RWA.3.4.2.5_1,239,4660,730,903,2217,2443,1039
RWA.3.4.2.6_1,402,7825,1226,1517,3722,4102,1758
RWA.3.4.3.1_1,366,7955,1231,1545,3822,4133,1810
RWA.3.4.3.2_1,340,7389,1143,1436,3551,3837,1645
RWA.3.4.3.3_1,492,10650,1650,2067,5118,5531,2092
RWA.3.4.3.4_1,320,6952,1076,1350,3340,3612,1614
RWA.3.4.3.5_1,351,7569,1174,1467,3638,3931,1846
RWA.3.4.4.1_1,248,5401,827,1125,2655,2746,1132
RWA.3.4.4.2_1,480,10460,1602,2183,5144,5315,2407
RWA.3.4.4.3_1,590,12840,1967,2680,6315,6525,3431
RWA.3.4.4.4_1,377,8217,1259,1713,4040,4177,1758
RWA.3.4.5.1_1,335,6288,890,1344,3035,3252,1468
RWA.3.4.5.2_1,341,6389,903,1367,3085,3304,1656
RWA.3.4.5.3_1,202,3789,539,806,1828,1961,1079
RWA.3.4.5.4_1,532,10050,1428,2148,4858,5191,2448
RWA.3.4.5.5_1,249,4656,658,996,2248,2408,1058
RWA.3.4.6.1_1,533,13636,2165,2599,6623,7013,2230
RWA.3.4.6.2_1,223,5704,906,1087,2770,2933,1521
RWA.3.4.6.3_1,300,7673,1218,1462,3726,3946,1572
RWA.3.4.6.4_1,326,8348,1325,1591,4054,4293,9168
RWA.3.4.7.1_1,241,5981,930,1200,2890,3091,1469
RWA.3.4.7.2_1,137,3418,531,686,1651,1766,1046
RWA.3.4.7.3_1,258,6423,999,1288,3103,3320,1814
RWA.3.4.7.4_1,168,4180,650,838,2019,2160,1223
RWA.3.4.7.5_1,278,6912,1075,1387,3340,3572,2302
RWA.3.4.7.6_1,306,7611,1183,1527,3677,3933,1503
RWA.3.4.7.7_1,248,6189,963,1238,2991,3198,1606
RWA.3.4.8.1_1,227,5123,766,1028,2445,2677,1342
RWA.3.4.8.2_1,375,8504,1266,1713,4055,4448,2120
RWA.3.4.8.3_1,297,6725,1004,1351,3209,3516,1525
RWA.3.4.8.4_1,244,5523,822,1112,2634,2889,1294
RWA.3.4.8.5_1,298,6761,1006,1362,3224,3536,1568
RWA.3.4.9.1_1,348,7889,1196,1631,3817,4071,1769
RWA.3.4.9.2_1,190,4289,649,887,2075,2214,789
RWA.3.4.9.3_1,397,8977,1361,1856,4343,4633,1654
RWA.3.4.9.4_1,221,4982,755,1029,2409,2572,1029
RWA.3.4.9.5_1,485,10985,1666,2271,5315,5669,2455
RWA.3.4.10.1_1,302,7886,1186,1562,3776,4109,1929
RWA.3.4.10.2_1,151,3884,585,771,1861,2023,1200
RWA.3.4.10.3_1,221,5713,860,1135,2737,2976,1406
RWA.3.4.10.4_1,375,9739,1465,1925,4665,5074,2352
RWA.3.4.10.5_1,202,5258,791,1043,2518,2739,1501
RWA.3.4.11.1_1,422,8703,1362,1670,4193,4509,2101
RWA.3.4.11.2_1,498,10268,1607,1971,4947,5320,2491
RWA.3.4.11.3_1,447,9363,1467,1796,4514,4848,1966
RWA.3.4.11.4_1,595,12285,1922,2358,5919,6365,3029
RWA.3.4.11.5_1,453,9362,1464,1801,4513,4848,1897
RWA.3.4.12.1_1,374,8102,1268,1664,3908,4194,1506
RWA.3.4.12.2_1,523,11322,1771,2325,5466,5856,2148
RWA.3.4.12.3_1,491,10627,1664,2182,5125,5501,2192
RWA.3.5.1.1_1,242,4904,810,923,2316,2588,1067
RWA.3.5.1.2_1,278,5616,926,1058,2652,2963,1070
RWA.3.5.1.3_1,164,3329,549,627,1572,1757,718
RWA.3.5.1.4_1,379,7616,1253,1438,3601,4015,1211
RWA.3.5.2.1_1,285,6148,1067,1077,2914,3234,1102
RWA.3.5.2.2_1,317,6834,1186,1197,3239,3595,1462
RWA.3.5.2.3_1,176,3801,659,665,1802,1999,1183
RWA.3.5.2.4_1,225,4857,842,850,2302,2554,880
RWA.3.5.2.5_1,301,6486,1125,1136,3074,3411,1366
RWA.3.5.3.1_1,315,6370,1057,1206,3029,3340,1230
RWA.3.5.3.2_1,242,4903,813,928,2332,2571,1137
RWA.3.5.3.3_1,355,7177,1191,1359,3413,3763,1521
RWA.3.5.4.1_1,435,7592,1183,1496,3670,3921,1513
RWA.3.5.4.2_1,383,6681,1041,1316,3230,3451,1296
RWA.3.5.4.3_1,501,8749,1364,1724,4229,4519,1823
RWA.3.5.4.4_1,415,7351,1145,1444,3547,3803,1709
RWA.3.5.4.5_1,308,5386,840,1061,2603,2782,994
RWA.3.5.5.1_1,410,7920,990,1769,4140,3779,1887
RWA.3.5.5.2_1,238,4594,574,1026,2401,2192,1077
RWA.3.5.5.3_1,211,4071,512,907,2121,1949,1170
RWA.3.5.5.4_1,508,9743,1234,2162,5073,4670,2335
RWA.3.5.5.5_1,306,5880,740,1309,3063,2816,1414
RWA.3.5.6.1_1,387,7098,1120,1218,3341,3756,1143
